dataset_enum,dataset_value,num_nodes,num_edges,best_num_colors,best_run,best_seed,best_conflict_edges,best_is_valid,avg_num_colors,std_num_colors,avg_conflict_edges,avg_time_sec,std_time_sec,valid_runs,success_runs
Graph_Amazon_PC,amazon_electronics_computers_graph,13471,245861,39,1,2001,0,True,40.1,1.2206555615733703,0.0,0.027133679389953612,0.0004840705180485214,10,10
Graph_Amazon_Photo,amazon_electronics_photo_graph,7535,119081,41,4,3004,0,True,43.9,1.2206555615733703,0.0,0.012801527976989746,0.0001565714704277647,10,10
Graph_Citeseer,citeseer_graph,3279,4552,7,1,1001,0,True,7.7,0.6403124237432849,0.0,0.0012007951736450195,5.435883475690547e-05,10,10
Graph_Cora,cora_graph,2708,5278,6,2,2,0,True,6.8,0.39999999999999997,0.0,0.0011257410049438476,9.134916930210958e-06,10,10
Graph_Pubmed,pubmed_graph,19717,44324,12,2,4002,0,True,12.4,0.6633249580710798,0.0,0.009765267372131348,0.00024172202007292562,10,10
Graph_bat,bat_graph,131,1003,18,3,6003,0,True,19.4,0.8,0.0,0.00013179779052734374,3.45139201721145e-06,10,10
Graph_dblp,dblp_graph,2591,3528,7,7,5007,0,True,7.9,0.5385164807134504,0.0,0.0009448051452636719,2.6356157574841287e-05,10,10
Graph_eat,eat_graph,399,5993,27,8,7008,0,True,28.3,1.004987562112089,0.0,0.0006124496459960938,8.552417064978375e-06,10,10
Graph_uat,uat_graph,1190,13599,61,3,8003,0,True,62.3,1.1874342087037917,0.0,0.0014988183975219727,2.2760484520700145e-05,10,10
