dataset_enum,dataset_value,dataset_type,file_path,num_nodes,num_edges,k,cut_size,same_color_edges,is_valid,status,gap,time_limit_sec,time_sec
Graph_Cora,cora_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/cora_graph.txt,2708,5278,3,5132,146,True,timelimit,2.5107022497495213,3600,3600.0484483242035
Graph_Citeseer,citeseer_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/citeseer_graph.txt,3279,4552,3,4478,74,True,timelimit,0.1805656271772653,3600,3600.0049862861633
Graph_Amazon_PC,amazon_electronics_computers_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_computers_graph.txt,13471,245861,3,160461,85400,True,timelimit,28465.666666666668,3600,3600.7423775196075
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,7535,119081,3,80757,38324,True,timelimit,2736.4285714285716,3600,3600.098036289215
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,19717,44324,3,39161,5163,True,timelimit,1e+20,3600,3608.8527023792267
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,2591,3528,3,3393,135,True,timelimit,0.09164420485175198,3600,3600.0058126449585
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,131,1003,3,829,174,True,timelimit,0.3926065426227236,3600,3600.0008397102356
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,399,5993,3,4542,1451,True,timelimit,10.913787204926445,3600,3600.005873441696
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,1190,13599,3,9877,3722,True,timelimit,87.35308328599125,3600,3600.012361049652
Graph_Cora,cora_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/cora_graph.txt,2708,5278,4,5271,7,True,optimal,0.0,3600,3138.3534388542175
Graph_Citeseer,citeseer_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/citeseer_graph.txt,3279,4552,4,4545,7,True,optimal,0.0,3600,691.542827129364
Graph_Amazon_PC,amazon_electronics_computers_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_computers_graph.txt,13471,245861,4,185143,60718,True,timelimit,60717.0,3600,3601.3060615062714
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,7535,119081,4,92309,26772,True,timelimit,1e+20,3600,3600.1397960186005
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,19717,44324,4,41832,2492,True,timelimit,1e+20,3600,3600.1143527030945
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,2591,3528,4,3505,23,True,timelimit,0.35294117647058826,3600,3600.0043551921844
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,131,1003,4,900,103,True,timelimit,1.7886578406640354,3600,3600.0011405944824
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,399,5993,4,5068,925,True,timelimit,923.999999999999,3600,3600.0079543590546
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,1190,13599,4,11024,2575,True,timelimit,20599.0,3600,3600.0130467414856
Graph_Cora,cora_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/cora_graph.txt,2708,5278,5,5278,0,True,optimal,0.0,3600,44.64854049682617
Graph_Citeseer,citeseer_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/citeseer_graph.txt,3279,4552,5,4550,2,True,optimal,0.0,3600,1023.1412379741669
Graph_Amazon_PC,amazon_electronics_computers_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_computers_graph.txt,13471,245861,5,204175,41686,True,timelimit,1e+20,3600,3600.423295736313
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,7535,119081,5,99001,20080,True,timelimit,1e+20,3600,3600.1971435546875
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,19717,44324,5,43422,902,True,timelimit,1e+20,3600,3609.457804918289
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,2591,3528,5,3523,5,True,timelimit,1e+20,3600,3600.0053057670593
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,131,1003,5,926,77,True,timelimit,13.610325729647492,3600,3600.002182006836
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,399,5993,5,5423,570,True,timelimit,1e+20,3600,3600.0202157497406
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,1190,13599,5,11807,1792,True,timelimit,1e+20,3600,3600.0165190696716
Graph_Cora,cora_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/cora_graph.txt,2708,5278,6,5278,0,True,optimal,0.0,3600,47.71452188491821
Graph_Citeseer,citeseer_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/citeseer_graph.txt,3279,4552,6,4552,0,True,optimal,0.0,3600,32.569679260253906
Graph_Amazon_PC,amazon_electronics_computers_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_computers_graph.txt,13471,245861,6,214056,31805,True,timelimit,1e+20,3600,3601.3315076828003
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,7535,119081,6,104232,14849,True,timelimit,1e+20,3600,3600.4620504379272
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,19717,44324,6,43842,482,True,timelimit,1e+20,3600,3601.231554746628
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,2591,3528,6,3528,0,True,optimal,0.0,3600,28.59304666519165
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,131,1003,6,955,48,True,timelimit,191.0,3600,3600.0019330978394
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,399,5993,6,5553,440,True,timelimit,1e+20,3600,3600.008312225342
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,1190,13599,6,12255,1344,True,timelimit,1e+20,3600,3600.0309908390045
